reuse_distance,nanoseconds
349545,164.321
41,19.366
23679,37.559
10628,37.559
31,18.779
3,18.779
89,19.366
935,26.996
7123,37.559
54,18.779
6,18.193
103,18.193
259058,99.766
28324,104.461
300716,150.236
213,18.779
2,18.779
1233,22.301
756,36.972
739,18.779
298220,154.344
363,19.366
725956,211.856
40080,95.658
32,18.193
842,39.320
534,26.409
1464195,160.213
1,19.366
1,18.193
77619,105.048
596520,163.734
45,19.366
64,18.193
3023,100.940
1421,93.311
3263,26.996
557790,169.015
1367258,170.776
10,18.779
14,18.779
4,19.366
1143,24.648
1,19.366
118947,97.419
164,19.366
390,19.366
271474,153.757
202496,151.996
295184,170.776
41,19.366
28795,91.550
51,18.779
33,19.366
227,18.779
1641,22.301
27941,26.996
294066,152.583
1145,26.996
47684,98.592
320105,91.550
42,18.193
13563,86.268
6,19.366
37172,100.940
19,18.779
9899,86.268
57,18.193
5,18.779
6454,24.648
641,26.996
75,18.193
27103,38.733
733886,99.179
134,19.366
1537,26.409
15,18.779
52269,152.583
198,25.235
5,18.779
7357,87.442
19072,103.874
159698,143.194
376202,147.888
632753,156.691
41,19.366
71,18.779
8430,26.996
5,18.193
337405,539.323
184,19.366
1881100,195.424
6,18.779
1,18.779
6,18.193
253658,149.062
24,19.366
61843,166.668
5,18.193
32,18.779
112,19.366
4485,26.996
9469,37.559
2,18.779
1569,25.235
1269060,164.321
3781,26.409
90160,95.658
31630,97.419
752451,182.513
500023,160.213
59,19.366
6843,26.409
38076,29.930
19,18.779
2064,26.996
1595742,201.880
5860,129.109
8,18.779
4,19.366
589,26.996
1033,24.061
4,18.779
6434,26.409
917,25.235
25,18.779
350,18.779
47816,84.508
1549545,178.405
5444,33.451
2,18.779
140,18.779
11,18.779
27220,29.930
252,19.366
18281,87.442
16472,89.203
1307927,163.147
785,26.996
201,19.366
469280,146.128
187,19.366
27568,32.277
1531,26.409
3,19.366
548753,182.513
1,18.779
1,18.193
1533,18.193
12,19.953
11,18.779
1446072,157.865
19908,90.376
46,18.779
4436,26.996
6,18.193
1159,31.690
1,18.779
895378,148.475
859,27.582
8965,31.690
1,18.193
120885,99.179
104412,165.494
33407,35.798
18,18.779
789,25.822
262,19.366
11,18.193
715410,153.757
65192,105.048
2,19.366
63,18.779
810,27.582
4260,40.493
217,19.366
224,18.779
6423,25.822
490,19.366
343897,170.776
80377,147.888
6519,29.930
237131,180.166
763,25.822
302713,144.367
501,19.366
14287,31.104
134,19.366
826,26.996
6100,89.789
144358,98.005
3,18.779
7486,24.648
8321,31.104
368707,156.105
119,18.779
165911,194.837
156,19.953
31295,92.137
2063125,161.386
35,19.366
972,28.169
2,19.366
3489,35.798
833715,154.931
11664,112.090
759128,150.823
85,19.366
35,18.779
203,19.366
14,18.779
1,18.193
1329009,150.823
1,18.779
1044,27.582
191836,149.062
627,25.235
6,18.193
15,18.193
685004,173.123
43423,98.005
1,18.193
1,18.779
155,19.366
8798,26.996
425278,183.100
18487,90.376
107,19.366
11,18.779
85,18.193
684,39.906
1771,25.822
268394,197.771
1874,26.996
2,19.366
106699,176.645
10,18.779
1,18.193
4,18.779
297,19.366
217,19.366
66,19.366
496,26.409
137,19.366
109,19.953
532929,147.888
8,19.366
90888,96.245
1,18.779
193,18.779
29687,86.268
78548,91.550
204,19.366
34242,90.376
5,18.779
1802456,158.452
6944,26.409
107341,99.179
598,24.648
225347,152.583
14,19.953
409718,170.189
166,18.779
1,19.366
366,19.366
548,25.822
192828,148.475
3818,24.648
294,19.366
874604,201.880
1422477,173.710
130299,146.128
27,18.779
336,26.409
8,18.193
3030,38.733
87,18.779
106,18.779
76,18.779
52,19.366
20927,24.648
1,18.779
5,18.779
2,18.779
63670,86.855
34,18.193
1,18.779
210,18.779
1,18.193
1051,31.104
22,19.366
24,18.193
205,19.366
4312,25.235
40,18.779
75213,170.189
1,18.779
4,18.779
136,19.366
691,32.277
1,18.193
92,26.996
42,18.779
47,18.193
32139,106.221
155,19.366
145178,112.677
1,18.779
39741,96.245
9,18.779
47,18.779
396,26.409
16,18.193
1276,30.517
260,18.779
1076485,146.128
44146,163.734
1369,26.409
90,19.366
78150,41.080
1497124,259.392
2451,25.822
1953541,191.903
146,19.366
5,18.193
42,18.779
5,18.779
5,19.366
174,18.779
677,26.409
4021,93.897
292,24.061
66893,105.635
172730,176.058
14505,26.996
975,39.320
29,19.366
1004,38.733
833,29.930
1204192,176.058
9130,26.409
296002,217.725
223,26.996
154370,89.789
180,25.235
184598,154.344
79239,147.302
3,18.779
125,19.953
4,18.779
296398,107.395
41,18.779
10024,105.048
276101,178.992
13121,26.409
50533,114.438
5,18.193
68989,158.452
294012,95.658
968,24.648
23,18.779
485,19.953
293249,197.185
1584649,168.429
46,19.366
2028,28.169
774,25.235
1163,94.484
2036677,154.931
1070031,162.560
807,19.366
8867,38.733
151029,154.344
183993,103.287
652,25.822
12,18.779
16195,29.343
24,18.779
49,18.193
2030457,149.062
55,18.779
6,18.779
70,18.779
868,32.277
1920290,181.339
1136979,150.823
24357,92.137
5,19.366
37402,32.277
937,19.366
4912,81.573
886038,144.954
1925416,165.494
686,25.822
669508,159.626
18,18.779
1393412,150.236
92,19.366
59997,201.880
1353230,166.668
126,19.366
23,18.779
5721,26.996
9,19.953
2,18.779
1,18.779
117,18.779
32847,98.592
43,18.779
5802,25.235
31802,93.897
4428,26.996
40353,88.616
1,17.606
2134,25.822
36950,99.766
1494056,147.888
24,18.779
187453,151.410
26646,90.963
84665,101.527
439,19.366
11258,40.493
77732,95.658
301687,88.616
3594,26.996
1,18.779
200450,96.832
888831,153.757
94819,196.011
129344,159.626
30,19.366
1,18.193
352,29.343
485,26.409
2,18.193
570,26.409
57298,93.897
69627,144.367
27599,31.690
158,19.953
1055,26.996
58,18.779
3,18.779
1387,89.789
124419,159.626
112713,158.452
866,26.996
1,18.779
10074,98.005
12,18.779
124538,90.963
2,18.193
141396,147.302
4616,27.582
636459,184.274
242,19.366
7295,26.996
60834,146.128
102,19.953
329,24.648
3752,28.169
5492,31.104
121,19.366
1324069,210.682
1,19.366
730,39.906
396,25.822
72928,96.245
24,17.606
5,18.779
5,18.193
25616,86.855
30,18.193
16,18.193
16,18.779
2,18.779
1895363,157.865
16752,29.930
26,19.953
9105,29.930
210403,229.462
1,18.779
19209,86.855
14186,29.930
7280,32.864
5829,25.822
1,18.193
25,18.779
169,18.779
163,19.366
8353,29.343
634509,190.142
924701,144.954
1,18.193
400607,150.236
1176941,149.062
549,18.779
75,18.193
40927,89.789
24346,31.690
258,18.779
225623,100.940
297,24.648
120453,184.861
1,18.779
5040,31.690
1,18.193
1,18.779
40,19.366
27,19.366
14887,27.582
4,18.193
43,19.366
82,18.779
57304,85.681
316319,150.236
795013,149.062
93934,150.823
3,18.193
64,18.779
7,18.193
31912,26.409
18,18.779
3,18.779
43822,84.508
3,19.366
1,19.366
16,18.779
235,19.366
76372,157.865
510522,164.321
111144,94.484
8216,26.996
72,18.779
6383,29.930
14864,25.235
364891,100.353
6620,29.343
24305,90.376
7,19.366
182366,160.213
172,19.366
28,18.193
3,18.779
23529,95.658
1621607,152.583
1195064,160.213
8920,28.169
72633,149.062
2,19.366
571849,98.592
547720,152.583
69470,91.550
5,18.193
1821169,149.649
1451,24.061
19,18.779
1,18.779
30440,87.442
5503,32.277
123758,88.616
7410,26.409
291,19.366
484,25.235
536478,159.039
1861971,139.086
3,19.366
93343,106.221
5878,25.235
83534,144.954
653912,165.494
377,18.779
6,18.779
8,18.779
1931,28.169
161716,150.823
6,19.366
768,25.822
687,19.953
495566,150.236
1591,26.409
187,20.540
129428,106.808
57,18.779
992,33.451
112396,116.785
115202,170.189
19440,32.277
182133,147.888
847,24.648
51,18.193
10748,104.461
5,18.779
14880,91.550
2,18.779
1,18.779
13211,24.648
8,19.366
141091,144.367
37,19.366
713458,150.823
43993,117.372
18928,96.245
2,18.193
388183,147.888
17,18.779
378119,144.954
1,18.193
19182,29.930
123,19.366
625854,155.518
21,18.193
23261,26.409
38625,89.789
1738,26.996
11,17.606
2070,93.897
34,18.193
213910,95.071
179,18.779
159731,154.344
5,18.779
1932360,164.907
943804,161.973
77433,113.851
2,18.193
1426581,154.931
399,19.953
19,18.779
95976,167.255
18064,37.559
6,18.779
2013,26.409
163,19.366
15,18.193
372,19.366
2841,26.996
2,18.193
166,18.779
25,18.193
112,18.779
140,19.366
564,26.996
3,19.366
2,18.779
990487,158.452
31,19.366
5355,31.690
45,18.779
4,18.779
962820,149.649
3,18.193
22,18.779
887163,106.221
1,18.779
1744932,150.823
2031419,180.166
1,18.779
15,18.193
18,19.366
100965,90.963
3,19.366
126,19.953
96,19.366
551,19.366
1960,25.235
36124,30.517
1620056,173.123
5499,26.409
8,19.366
20,18.779
1913111,201.293
1138,26.996
11438,82.160
3,18.193
2945,93.311
5402,26.996
8,18.779
4,18.779
243728,195.424
647,26.996
3,18.193
837513,223.006
14582,29.930
1,18.779
1295178,156.691
12132,25.822
1,18.779
1362492,206.574
2,18.193
26,19.366
65595,100.940
8,18.193
3379,35.798
3,18.779
4679,38.733
3,18.193
109525,111.503
333,24.648
17376,36.972
887953,93.311
72599,119.132
15851,36.972
482,26.409
349,18.779
55792,109.743
1420377,206.574
1,18.779
3,18.193
5,18.779
248611,196.011
2572,25.235
17,18.193
99284,183.687
17,18.193
25,18.193
61317,171.363
217026,169.015
36,18.193
39837,85.095
509629,194.837
975,19.366
1246,38.733
1,18.779
1,19.366
3777,166.668
9336,24.648
3,19.366
197,19.366
16,18.193
86300,177.231
80,18.193
1168554,197.771
652,24.648
40278,98.005
217,18.779
17,18.779
27280,103.287
215,19.366
58,18.779
138995,184.861
26,19.366
177474,223.593
1,18.779
1,19.366
1,18.193
29,19.953
77450,92.724
328522,161.386
1091,25.235
179,18.779
79834,163.734
1064483,173.123
1833214,146.128
159276,107.395
1673348,198.358
3302,25.822
709,25.822
3,18.779
651564,166.081
11414,90.963
342002,93.897
25,18.779
6360,35.798
87,18.193
1045424,147.888
1403281,166.668
1845,114.438
13599,97.419
135,19.366
127352,157.865
901,26.409
4017,88.616
10777,31.690
1051,25.822
5075,25.235
16314,31.690
31523,138.499
187,18.779
2555,88.029
16,18.193
275750,98.005
97,18.779
8,18.779
241046,137.912
7,18.193
6,18.779
379,19.366
5239,24.061
26,18.779
117,18.779
2,18.779
4,18.779
3060,27.582
181376,202.466
456,26.996
1484,36.972
121365,93.311
843013,172.537
9,18.779
8,18.779
51193,103.874
8918,96.832
35016,37.559
263,18.779
4,18.193
79,18.779
2,18.779
140918,161.386
15882,31.104
5230,115.024
1,18.779
2088,26.409
508846,182.513
7,18.193
240,19.366
1,18.193
60,19.366
91112,92.724
9393,18.779
1596,24.648
5,18.779
267892,151.996
6887,99.179
15682,32.277
23169,40.493
1,18.193
6,18.193
1340,24.648
1264405,170.776
112,18.779
11685,25.822
30865,89.789
1006826,150.236
195,18.779
3,18.193
2,18.779
16534,95.071
7,19.366
302435,102.700
99,18.779
41446,98.592
333313,225.354
261513,187.795
10056,38.146
1,18.193
29,18.779
18029,87.442
88,19.366
1,18.779
80,18.779
142594,105.048
6,18.779
10,19.366
468,25.235
104493,176.058
239022,173.123
690,29.343
1192301,167.255
152,18.779
409,25.235
64,18.193
1785823,192.490
6,18.193
28,18.193
166,19.366
24,18.779
53,19.366
1,18.779
130,19.366
9,18.193
12,18.779
3,18.193
1,18.193
20,18.779
38010,93.897
2,18.779
478,25.822
326,26.409
187,19.366
796,26.409
26391,31.690
9,18.193
5305,102.113
272261,103.287
6256,26.996
264,19.366
31030,102.700
2,18.779
7,19.366
2,18.193
887,30.517
9646,26.409
1,18.779
5531,25.235
297269,104.461
319,25.822
133493,143.780
9,18.193
418,24.061
10,18.779
89,18.779
68752,105.635
40,18.779
135,18.193
1406396,219.485
1748997,169.602
299,19.953
410,19.366
272,19.366
58856,171.950
326963,167.255
3,18.779
786217,177.231
821,26.996
933759,94.484
2345,26.996
218668,92.724
13816,42.841
4914,25.235
15,19.366
31242,92.724
2,18.779
151177,145.541
60160,187.208
11502,90.963
21429,32.277
9,18.193
732,24.648
200889,97.419
946,18.779
8913,116.785
8,18.193
65,19.366
410155,99.766
810,33.451
84,25.822
342064,100.353
347754,174.297
34726,105.048
44,25.235
9759,38.146
5414,97.419
152,19.366
3658,26.409
2,19.366
67,19.366
2,18.779
466968,180.166
937891,151.410
20109,38.733
3,18.193
13972,86.855
41820,90.376
527529,161.386
400,19.366
150,19.366
5390,82.747
3678,24.648
167960,152.583
452,19.366
6,18.779
713,41.080
4422,36.972
477,19.366
139,19.366
2,18.779
71966,99.766
22,18.779
851240,173.123
1191,98.592
861,27.582
3961,80.400
3,18.779
154341,150.236
6,18.779
3,18.193
1,17.606
28,19.366
1,19.366
1,18.779
568760,144.367
5,18.193
31217,37.559
11342,39.906
1,18.779
5,18.193
1,18.193
